timestamp,txn_id,payee_vpa,amount,day_of_week,hour_of_day,shopping_category,instrument_type,era,label,call_overlap_flag,call_minutes,screen_share_flag,otp_share_flag,session_language_mismatch_flag,fresh_device_flag,days_since_reinstall,payee_account_age_days,payee_name_match_score,user_prior_txn_count_90d,user_mean_amt_90d,user_p95_amt_90d,user_max_amt_90d,user_tenure_days,time_since_last_txn_hours,user_txn_count_last_1h,user_txn_count_last_24h,payee_velocity_24h,payee_novelty_days,user_payee_txn_count_90d,user_id,payee_id
2026-09-15 13:56:58.404705,TXNREGIME_B_CROSS_PROCESS0001249,choudhuryhenry@okicici,1344.57,1,13,food_delivery,upi_p2m,fit,0,0,0.0,0,1,0,0,,71.4,0.176,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,216,53
2026-09-15 14:06:18.273022,TXNREGIME_B_CROSS_PROCESS0000282,shravya63@okhdfc,1699.69,1,14,person_to_person,upi_p2p,fit,0,0,0.0,0,0,0,0,,435.5,0.907,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,253,123
2026-09-15 14:26:14.821600,TXNREGIME_B_CROSS_PROCESS0000570,pranit53@okicici,1650.13,1,14,utility_bill,upi_p2p,fit,0,0,0.0,0,0,0,0,,176.9,0.958,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,267,38
2026-09-15 16:47:49.746247,TXNREGIME_B_CROSS_PROCESS0000605,warhidesai@paytm,8444.78,1,16,groceries,upi_p2m,fit,0,0,0.0,0,0,0,0,,432.6,0.895,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,18,160
2026-09-15 17:06:19.422166,TXNREGIME_B_CROSS_PROCESS0001183,rushildhingra@okicici,328.18,1,17,utility_bill,upi_p2m,fit,0,0,0.0,0,0,0,0,,574.4,0.962,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,164,89
2026-09-15 17:35:17.688417,TXNREGIME_B_CROSS_PROCESS0000365,upkaarmahajan@oksbi,4334.57,1,17,other,upi_p2p,fit,0,0,0.0,0,0,0,0,,361.6,0.596,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,293,86
2026-09-15 19:32:14.913826,TXNREGIME_B_CROSS_PROCESS0001288,vshukla@okhdfc,173.34,1,19,person_to_person,upi_p2p,fit,0,0,0.0,0,0,0,0,,48.4,0.992,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,6,136
2026-09-15 19:36:02.476516,TXNREGIME_B_CROSS_PROCESS0000542,jackkhurana@oksbi,329.33,1,19,recharge,upi_p2p,fit,0,0,0.0,0,0,0,0,,77.7,0.836,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,230,66
2026-09-15 20:29:41.230892,TXNREGIME_B_CROSS_PROCESS0000470,qdar@oksbi,384.2,1,20,recharge,upi_p2p,fit,0,0,0.0,0,0,0,0,,498.4,0.803,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,49,1
2026-09-15 21:48:39.002104,TXNREGIME_B_CROSS_PROCESS0001042,aravi@okicici,149.17,1,21,e_commerce,upi_p2p,fit,0,1,2.8,0,0,0,0,,118.5,0.935,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,121,2
2026-09-15 21:58:39.586684,TXNREGIME_B_CROSS_PROCESS0000418,sagarchanchal@okicici,1431.5,1,21,groceries,upi_p2p,fit,0,0,0.0,0,0,0,0,,36.3,0.947,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,67,158
